Year,Age,Stage,Wages,SS Benefits,Traditional Withdrawal,Roth Conversion,Expenses,IRMAA Penalty,Federal Tax,Cash Balance,RMD,Taxable Withdrawal,Roth Withdrawal,LTCG Harvested,DAF Contribution,ACA Premium,Taxable Balance,Traditional Balance,Roth Balance,DAF Balance,Total Portfolio
2036,70/69,Stage 4: Social Security,0,120432,0.0,310332.8,145849.6660547468,10609.92,75877.0,291699.3321094936,0.0,5635.458313775656,0.0,0.0,0,0,613480.7826781932,2978499.949307617,6272566.9696611045,0,10156247.033756409
2037,71/70,Stage 4: Social Security,0,126420,0.0,296093.0,148722.90447602532,10609.92,74008.0,297445.80895205063,0.0,5746.476842557022,0.0,0.0,0,0,644198.3641857743,2843351.366266074,6962779.567840771,0,10747775.10724467
2038,72/71,Stage 4: Social Security,0,128940,0.0,293951.0,151652.745694203,10609.92,74008.0,303305.491388406,0.0,5859.68243635539,0.0,0.0,0,0,676639.0026543841,2702364.388242039,7692134.401911218,0,11374443.284196047
2039,73/72,Stage 5: RMD,0,131508,101976.01465064297,82721.09267467851,154640.3047843788,10609.92,47984.0,309280.6095687576,101976.01465064297,5975.118180351565,0.0,0.0,0,0,818998.2930721561,2668727.3177717207,8241346.82426105,0,12038353.044673685
2040,74/73,Stage 5: RMD,0,134148,104655.97324594983,75684.11337702509,157686.71878863106,10609.92,47804.0,315373.4375772621,104655.97324594983,6092.828008504526,0.0,0.0,0,0,972615.1246081776,2637690.4650176708,8816052.79389636,0,12741731.821099471
2041,75/74,Stage 5: RMD,0,136860,107223.18963486466,64972.90518256767,160793.14714876708,4956.0,46403.0,321586.29429753416,107223.18963486466,6212.856720272044,0.0,0.0,0,0,1138042.9849741363,2613424.0324122524,9413887.241023665,0,13486940.552707588
2042,76/75,Stage 5: RMD,0,139584,110271.05621992626,67291.27189003688,163960.77214759777,4956.0,47919.0,327921.54429519555,110271.05621992626,6335.249997661391,0.0,0.0,0,0,1316497.5186681855,2582013.406560427,10050049.223688524,0,14276481.693212332
2043,77/76,Stage 5: RMD,0,142344,112751.67714237673,68152.96142881163,167190.79935890547,4956.0,49611.0,334381.59871781094,112751.67714237673,6460.054422615387,0.0,0.0,0,0,1508156.4898712237,2545175.294068593,10725294.316224378,0,15113007.698882006
2044,78/77,Stage 5: RMD,0,145200,115689.78609402696,70045.10695298652,170484.4581062759,4956.0,51026.0,340968.9162125518,115689.78609402696,6587.317494740884,0.0,0.0,0,0,1714294.4959787403,2501006.8250828744,11443059.788568005,0,15999330.025842171
2045,79/78,Stage 5: RMD,0,148104,118531.12915084712,62815.23542457644,173843.00193096953,4956.0,50892.0,347686.00386193907,118531.12915084712,6717.087649387249,0.0,0.0,0,0,1935675.0497290122,2458840.088137898,12196227.525432136,0,16938428.667160988
2046,80/79,Stage 5: RMD,0,151068,121724.75683850981,64533.7215807451,177267.70906900964,4956.0,52349.0,354535.4181380193,121724.75683850981,6849.414276080206,0.0,0.0,0,0,2173583.4158289284,2408936.506301762,12996406.921833655,0,17933462.262102365
2047,81/80,Stage 5: RMD,0,154092,124171.98486091557,57449.90756954221,180759.88293766914,4956.0,52180.0,361519.7658753383,124171.98486091557,6984.347737319011,0.0,0.0,0,0,2428217.316129677,2360953.4907035828,13837088.23916739,0,18987778.811875988
2048,82/81,Stage 5: RMD,0,157164,127619.10760559907,54420.74619720047,184320.85263154123,4956.0,52907.0,368641.70526308246,127619.10760559907,7121.939387744176,0.0,0.0,0,0,2701637.3534083837,2309648.4551148308,14724999.524486467,0,20104927.038272765
2049,83/82,Stage 5: RMD,0,160308,130488.61328332378,56224.793358338124,187951.9734283826,4956.0,54343.0,375903.9468567652,130488.61328332378,7262.241593682731,0.0,0.0,0,0,2994355.5486039063,2250311.151381559,15668097.776915496,0,21288668.423757724
2050,84/83,Stage 5: RMD,0,160380,133947.09234414043,49889.9538279298,191654.62730492174,4956.0,53994.0,383309.2546098435,133947.09234414043,7405.30775307829,0.0,0.0,0,0,3308151.1731866673,2190462.5515220584,16661066.994588032,0,22542989.973906603
