year,ira_contribution_base,ira_catchup_50plus,roth_phaseout_start_mfj,roth_phaseout_end_mfj,roth_phaseout_start_single,roth_phaseout_end_single,k401_employee_limit,k401_total_limit,k401_catchup_50,k401_catchup_60_63
2023,6500,1000,218000,228000,138000,153000,22500,66000,7500,7500
2024,7000,1000,230000,240000,146000,161000,23000,69000,7500,7500
2025,7000,1000,236000,246000,150000,165000,23500,70000,7500,7500
2026,7000,1000,236000,246000,150000,165000,23500,70000,7500,11250
2027,7000,1000,236000,246000,150000,165000,23500,70000,7500,11250
